tip_hiše,lokacija,cena,površina,število_spalnic,število_kopalnic,agencija
House,Saint-Etienne-du-Bois (85),235600,90,3,1,By Ajp Immobilier
House with terrace,Bordeaux (33),954800,230,7,1,By Ajp Immobilier
House with terrace,Reze (44),415800,101,3,1,By Ajp Immobilier
Villa with terrace,Lacanau (33),896400,184,3,1,By Ajp Immobilier
House with terrace,Bel air (49),289200,121,4,1,By Ajp Immobilier
House,Saint-Zacharie (83),793800,140,3,1,By Agence Du Sud Auriol
House with terrace,Meschers-sur-Gironde (17),1026000,180,5,1,By Maxwell-baynes La Rochelle - Christie&#39;s International Real Estate
House,Ars-en-Ré (17),861900,125,4,1,By Maxwell-baynes La Rochelle - Christie&#39;s International Real Estate
House with pool and garden,Barbezieux-Saint-Hilaire (16),918000,710,15,coerce,By Maxwell-baynes Residential And Vineyards - Christie&#39;s International Real Estate
House,Tusson (16),893000,500,7,1,By Maxwell-baynes Residential And Vineyards - Christie&#39;s International Real Estate
Seaside house with terrace,Royan (17),430900,80,coerce,coerce,By Royan Ile D&#39;oléron Sotheby&#39;s International Realty
House,Breuilpont (27),453600,170,4,1,By Orpi - Select&#39;immo
House with pool and terrace,Albi (81),441700,150,5,1,By Era Immobilier Cite D&#39;alby
House with terrace,Tréflez (29),938800,245,4,1,By Belles Demeures De Bretagne
House with terrace,Tréguier (22),705200,183,6,1,By Belles Demeures De Bretagne
House with pool and terrace,Montpellier (34),788400,205,5,1,By Agence Galerie Casanova
House with pool and terrace,Cailloux-sur-Fontaines (69),961200,159,5,1,By Groupe Monts D’or Immobilier Arlim Prestige
House with pool,Contes (06),590800,135,4,coerce,By Maison-a-nice.fr
Villa with pool and terrace,Puget-sur-Argens (83),1009800,180,4,1,By Agence Azur Astoria
House with pool and terrace,Sari-Solenzara (2A),1020600,95,3,coerce,By Panoramer Immobilier
House with pool and terrace,Sénas (13),664200,193,6,coerce,By Immobilier.notaires®
House with garden and terrace,Mijoux (01),1026000,340,3,coerce,By Barnes Pays De Gex &amp; Genevois
House with terrace,Le Beausset (83),853200,110,3,1,By Canat &amp; Warton Sanary-sur-mer
House with pool,Saint-André-les-Vergers (10),567000,129,4,coerce,By Yves Damonte Immobilier
Villa with terrace,Olonzac (34),258100,82,2,1,By La Pierre Du Languedoc
House with terrace,Anglet (64),1020600,154,4,1,By Carmen Immobilier
House with terrace,Urrugne (64),583200,120,4,1,By Carmen Immobilier
House with pool and terrace,Andernos-les-Bains (33),925500,149,3,coerce,By Coldwell Banker Immoba Realty Bassin D&#39;arcachon
House with garden,Paimpont (35),623700,280,7,1,By Pga Immobilier
House,Mougins (06),754900,198,5,coerce,By Century 21 Coast &amp; Country
House with terrace,Mougins (06),729000,99,3,1,By Century 21 Coast &amp; Country
House,Crespières (78),1074600,221,4,1,By So Exclusif
House with pool and terrace,Saint-Antoine-de-Ficalba (47),669600,262,5,coerce,By Expertimo
House,Andernos-les-Bains (33),718200,100,3,coerce,By Expertimo
House with pool and terrace,Bretignolles-sur-Mer (85),891000,148,3,coerce,By Expertimo
House with pool,Digne-les-Bains (04),537900,170,5,1,By Expertimo
House,Aix-en-Provence (13),810000,77,3,coerce,By Michaël Zingraf Christie&#39;s International Real Estate Aix-en-provence
House with terrace,Viry (74),734400,221,3,1,By Divonne Sotheby&#39;s International Realty
House with pool,Chatellerault (86),486000,250,6,coerce,By Barnes Proprietes &amp; Chateaux
House with pool and terrace,Bourdeilles (24),586900,253,5,coerce,By Sextant France
House with pool,Vélines (24),465000,400,8,coerce,By Sextant France
House,Inzinzac-Lochrist (56),750600,249,6,coerce,By Bretagne Sud Sotheby&#39;s International Realty Vannes
House with pool and terrace,Briollay (49),539500,156,5,1,By Rue De La Paix.immo
House with terrace,Le Beausset (83),853200,110,3,1,By Canat &amp; Warton Hyères
Villa with pool,Solliès-Toucas (83),614500,135,3,1,By Canat &amp; Warton Hyères
House,Pornichet (44),683700,134,5,1,By Lloyd &amp; Davis
House with pool and garden,Tournus (71),538900,243,5,coerce,By Horizon Immobilier
House,Saint-Rémy-de-Provence (13),858600,181,5,1,By Saint-rémy-de-provence Sotheby&#39;s International
House with garden and terrace,Deauville (14),963900,122,3,1,By Barnes Deauville
House with garden,Chateau gombert (13),1080000,180,5,coerce,By Marseille Sotheby&#39;s International Realty
House with terrace,Deauville (14),950400,177,5,coerce,By Consultants Immobilier  Deauville
House,Uzès (30),388800,258,4,coerce,By Cigal&#39;immo
House with terrace,Arbonne (64),1058400,160,4,1,By Coldwell Banker Carre Ouest
Villa with pool,Besse-sur-Issole (83),1074600,250,4,coerce,By Bee Provence
House with pool,Cestas (33),988900,180,5,coerce,By Maxwell-baynes Bordeaux-bassin - Christie’s International Real Estate
House with terrace,Nantes (44),664200,168,5,coerce,By Coté Particuliers
House with garden,Gujan-Mestras (33),896400,142,4,coerce,By Coldwell Banker Immoba Realty Bassin D&#39;arcachon
House with pool,La Teste-de-Buch (33),961200,130,5,coerce,By Coldwell Banker Immoba Realty Bassin D&#39;arcachon
House with pool,Arcachon (33),1020600,96,3,coerce,By Coldwell Banker Immoba Realty Bassin D&#39;arcachon
House,Gujan-Mestras (33),1020600,130,4,coerce,By Coldwell Banker Immoba Realty Bassin D&#39;arcachon
House with pool and terrace,Langon (33),730100,190,3,1,By Euro Immobilier
House with pool,Mouriès (13),975300,211,5,1,By Actuel Immobilier
House with pool,La Tremblade (17),702000,415,8,coerce,By Coldwell Banker L&#39;immobilière Internationale Saintes
House with pool and terrace,Montelimar (26),625300,152,4,1,By Provence Immobilier
House,Condé-sur-Vesgre (78),399600,205,4,1,By Sud Ouest Immo 78
House,Saint-Médard-en-Jalles (33),793800,150,4,coerce,By Villas Melrose Bordeaux Homexpo
House,Saint-Médard-en-Jalles (33),874800,160,3,coerce,By Villas Melrose Bordeaux Homexpo
House,Andernos-les-Bains (33),658800,115,3,coerce,By Villas Melrose Bordeaux Homexpo
House,Le Teich (33),739800,130,3,coerce,By Villas Melrose Bordeaux Homexpo
House,Le Teich (33),901800,180,3,coerce,By Villas Melrose Bordeaux Homexpo
House,Le Taillan-Médoc (33),842400,170,4,coerce,By Villas Melrose Bordeaux Homexpo
House,Cissac-Médoc (33),712800,180,3,coerce,By Villas Melrose Bordeaux Homexpo
House,Belin-Béliet (33),475200,120,4,coerce,By Villas Melrose Bordeaux Homexpo
House,Belin-Béliet (33),561600,135,3,coerce,By Villas Melrose Bordeaux Homexpo
House,Andernos-les-Bains (33),810000,150,3,coerce,By Villas Melrose Bordeaux Homexpo
House,Andernos-les-Bains (33),842400,120,3,coerce,By Villas Melrose Bordeaux Homexpo
House,Saint-Selve (33),819700,185,3,coerce,By Villas Melrose Bordeaux Homexpo
House,Le Taillan-Médoc (33),534600,120,4,coerce,By Villas Melrose Bordeaux Homexpo
House,Le Taillan-Médoc (33),707400,155,4,coerce,By Villas Melrose Bordeaux Homexpo
House,Andernos-les-Bains (33),1026000,160,4,coerce,By Villas Melrose Bordeaux Homexpo
House,Bessancourt (95),864000,160,3,coerce,By Architecture De Collection
House,Bayonne (64),604800,128,4,1,By Equinoxes Immobilier
House,Saint-Martin-de-Seignanx (40),604800,128,4,1,By Equinoxes Immobilier
House,Jard-sur-Mer (85),334800,140,3,coerce,By Bati 85
House with terrace,Trouville-sur-Mer (14),961200,125,4,1,By Agence Campion
House with pool,Montanay (69),754900,160,5,coerce,By Sandra Viricel Immobilier
House with terrace,Royan (17),954200,213,3,1,By Côté Plage Immobilier
Villa with pool and terrace,Saint-andre-des-eaux (44),1068200,180,5,coerce,By Agence Immobilière Plage Benoit
House,La Croix-en-Touraine (37),729200,290,4,1,By Une Villa Et Des Vignes Tours
House,Cestas (33),463700,134,4,coerce,By La Boutique Du Patrimoine
House,Villenave-d'Ornon (33),566900,106,3,coerce,By La Boutique Du Patrimoine
House with terrace,Sainte-Bazeille (47),267800,158,4,1,By La Boutique Du Patrimoine
House with pool and terrace,Begles (33),642600,115,4,1,By La Boutique Du Patrimoine
House with terrace,Chevry-Cossigny (77),625300,192,5,1,By Diva
House with pool,Montereau-Fault-Yonne (77),756000,280,5,1,By Diva
House with pool and terrace,Saint-Gaudens (31),702000,363,4,coerce,By Diva
House with terrace,Lille (59),917500,194,4,coerce,By Diva
House with pool and terrace,Montereau-Fault-Yonne (77),702000,390,6,1,By Diva
House with pool and terrace,Pau (64),561600,220,6,coerce,By Diva
House,Coulommiers (77),1053000,330,8,coerce,By Diva
House with terrace,Le Castellet (83),702000,115,3,coerce,By Promethee Transaction
House with pool,Brignoles (83),815400,233,6,coerce,By Diva
House with terrace,Chantonnay (85),469400,187,4,coerce,By Diva
House,Fontains (77),448200,230,6,1,By Diva
House with pool,Poitiers (86),961200,550,9,coerce,By Diva
House with terrace,Villeneuve-en-Retz (44),399600,134,4,coerce,By Diva
House with pool,Lacapelle-Marival (46),1074600,510,11,coerce,By Diva
House,Niort (79),623700,298,5,coerce,By Diva
